epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,466.012,0.62434,0.81092,1.04685,0.98132,0.7818,0.8648,0.67687,0.87154,0.99436,1.11535,0.004357,0.004357,0.004357
59,473.956,0.65687,0.82125,1.0401,0.90634,0.84953,0.86626,0.64636,0.97244,1.01128,1.22088,0.004258,0.004258,0.004258
60,481.939,0.61161,0.7646,1.0211,0.97869,0.81682,0.8736,0.66406,0.94953,1.06234,1.14889,0.004159,0.004159,0.004159
61,489.828,0.58286,0.75724,1.04249,0.92086,0.87679,0.87943,0.63655,0.97113,1.088,1.13927,0.00406,0.00406,0.00406
62,497.751,0.62671,0.79175,1.05437,0.86471,0.75151,0.84227,0.63685,0.92926,1.05439,1.13729,0.003961,0.003961,0.003961
63,505.676,0.63088,0.79267,1.03193,0.93082,0.85857,0.87749,0.69805,0.83865,0.97374,1.07427,0.003862,0.003862,0.003862
64,513.738,0.60106,0.75232,1.02561,0.96295,0.86758,0.87902,0.6681,0.91648,0.96315,1.16083,0.003763,0.003763,0.003763
65,521.646,0.61041,0.75867,1.02666,0.92859,0.87983,0.87841,0.67898,0.89217,0.96421,1.12609,0.003664,0.003664,0.003664
66,529.559,0.58672,0.73504,0.98708,0.84617,0.71477,0.82111,0.63659,0.92401,0.97951,1.17987,0.003565,0.003565,0.003565
67,537.436,0.62192,0.7375,1.02897,0.71529,0.87581,0.84718,0.66655,0.90434,0.94722,1.16087,0.003466,0.003466,0.003466
68,545.453,0.59574,0.76831,1.07155,0.78107,1,0.93444,0.66791,0.88989,0.92579,1.15479,0.003367,0.003367,0.003367
69,553.366,0.62619,0.73205,1.0243,0.72637,0.88889,0.87159,0.64439,0.89,0.9431,1.15955,0.003268,0.003268,0.003268
70,561.409,0.62414,0.70843,1.03449,0.78669,0.8786,0.93141,0.68251,0.86226,0.94691,1.14893,0.003169,0.003169,0.003169
71,569.297,0.59104,0.68199,1.02085,0.75001,0.85525,0.91825,0.6699,0.84432,0.96922,1.15031,0.00307,0.00307,0.00307
72,577.167,0.54997,0.6926,0.99749,0.87705,0.74444,0.79103,0.58316,0.85838,1.00967,1.15656,0.002971,0.002971,0.002971
73,585.145,0.5996,0.74346,1.02853,0.87327,0.74444,0.81803,0.61482,0.8492,0.98444,1.14145,0.002872,0.002872,0.002872
74,593.182,0.56688,0.68354,0.98602,0.87606,0.74444,0.84627,0.66545,0.77789,0.92372,1.11572,0.002773,0.002773,0.002773
75,601.063,0.49802,0.64702,0.96949,0.84751,0.74444,0.83894,0.6684,0.75093,0.91193,1.10764,0.002674,0.002674,0.002674
