epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,1813,0.54632,0.49556,0.98796,0.99407,0.88212,0.95855,0.8169,0.5437,0.67811,0.82572,0.003367,0.003367,0.003367
69,1839.72,0.5631,0.50238,0.99132,0.99229,0.9061,0.95579,0.81603,0.53471,0.68121,0.83245,0.003268,0.003268,0.003268
70,1866.24,0.5566,0.48113,0.98663,0.99593,0.8992,0.95499,0.80285,0.55612,0.76483,0.85785,0.003169,0.003169,0.003169
71,1892.83,0.54506,0.47927,0.98735,0.99224,0.90981,0.95821,0.80182,0.6065,0.75806,0.88542,0.00307,0.00307,0.00307
72,1919.42,0.54654,0.49296,0.9966,0.9875,0.90175,0.95457,0.81531,0.57637,0.73981,0.85793,0.002971,0.002971,0.002971
73,1946.07,0.53819,0.48594,0.98086,0.99355,0.91649,0.96211,0.81167,0.56184,0.71499,0.84894,0.002872,0.002872,0.002872
74,1972.65,0.51965,0.47892,0.98345,0.97047,0.93399,0.96129,0.79779,0.51841,0.74317,0.83971,0.002773,0.002773,0.002773
75,1998.92,0.53717,0.46526,0.99275,0.97689,0.94914,0.96895,0.81851,0.49827,0.72605,0.82921,0.002674,0.002674,0.002674
76,2025.51,0.55367,0.48646,0.99851,0.97257,0.94197,0.96501,0.81863,0.51357,0.69169,0.82532,0.002575,0.002575,0.002575
77,2052.09,0.5211,0.46243,0.99012,0.96686,0.94108,0.96454,0.81454,0.52424,0.70472,0.83488,0.002476,0.002476,0.002476
78,2078.68,0.52447,0.45627,0.97744,0.96999,0.92193,0.96983,0.81855,0.50432,0.71037,0.82632,0.002377,0.002377,0.002377
79,2105.36,0.52152,0.45672,0.96551,0.95562,0.94524,0.96666,0.81451,0.50656,0.72293,0.82739,0.002278,0.002278,0.002278
80,2131.99,0.50888,0.44709,0.96826,0.98555,0.90675,0.95781,0.81957,0.50833,0.71355,0.82667,0.002179,0.002179,0.002179
81,2158.66,0.50894,0.45866,0.97885,0.98965,0.93983,0.97085,0.81508,0.52057,0.68568,0.83655,0.00208,0.00208,0.00208
82,2185.48,0.51618,0.46443,0.97723,0.9865,0.92436,0.96292,0.80764,0.53885,0.69175,0.83882,0.001981,0.001981,0.001981
83,2212.08,0.51925,0.45824,0.98008,0.96933,0.94376,0.96268,0.82104,0.5402,0.68302,0.83455,0.001882,0.001882,0.001882
84,2238.4,0.50091,0.42737,0.96098,0.99015,0.92708,0.96675,0.82273,0.53128,0.6417,0.82155,0.001783,0.001783,0.001783
85,2264.91,0.50692,0.46134,0.97956,0.97461,0.92326,0.96145,0.81202,0.54464,0.64152,0.82697,0.001684,0.001684,0.001684
86,2291.33,0.49286,0.43357,0.97002,0.96344,0.9329,0.96295,0.82219,0.53608,0.66287,0.82028,0.001585,0.001585,0.001585
87,2317.91,0.51143,0.44504,0.98091,0.96652,0.93612,0.96332,0.82053,0.51668,0.64692,0.81977,0.001486,0.001486,0.001486
88,2344.43,0.48791,0.42941,0.96609,0.96656,0.9349,0.96218,0.83596,0.50651,0.6468,0.81811,0.001387,0.001387,0.001387
89,2370.84,0.47828,0.42883,0.96393,0.96188,0.94041,0.96152,0.83249,0.5093,0.68144,0.82937,0.001288,0.001288,0.001288
90,2397.42,0.47797,0.41967,0.95711,0.97783,0.91281,0.96617,0.83363,0.51641,0.66996,0.82413,0.001189,0.001189,0.001189
91,2423.61,0.42671,0.39618,0.95349,0.96105,0.92866,0.96302,0.83025,0.54733,0.66942,0.83555,0.00109,0.00109,0.00109
92,2449.54,0.42877,0.37428,0.95443,0.96344,0.93321,0.96155,0.82464,0.51447,0.68096,0.82134,0.000991,0.000991,0.000991
93,2475.66,0.42537,0.38831,0.95622,0.96779,0.92909,0.96229,0.8175,0.52075,0.6646,0.81993,0.000892,0.000892,0.000892
94,2501.78,0.41764,0.37933,0.93993,0.98674,0.90839,0.95425,0.81207,0.53024,0.65418,0.8175,0.000793,0.000793,0.000793
95,2527.72,0.41536,0.35336,0.93981,0.98515,0.90763,0.95351,0.80697,0.54416,0.68329,0.82606,0.000694,0.000694,0.000694
96,2553.67,0.42217,0.35674,0.94101,0.98602,0.91411,0.96683,0.83098,0.4802,0.62355,0.80179,0.000595,0.000595,0.000595
97,2579.72,0.41456,0.34772,0.94556,0.97394,0.92619,0.96496,0.82732,0.47142,0.62586,0.79891,0.000496,0.000496,0.000496
98,2605.53,0.40541,0.34728,0.9454,0.97629,0.9173,0.96521,0.83074,0.48546,0.61865,0.80286,0.000397,0.000397,0.000397
99,2631.39,0.39404,0.34893,0.9264,0.97655,0.91815,0.96298,0.82792,0.49353,0.6072,0.8075,0.000298,0.000298,0.000298
100,2657.32,0.38123,0.34148,0.92262,0.99016,0.91201,0.96796,0.83027,0.48999,0.60478,0.80871,0.000199,0.000199,0.000199
